識別號,上字表識別號,下字表識別號,切語,拼音,小韻字,目次編碼,小韻字序號,小韻字集,字數,聲母,聲母拼音碼,發音部位,清濁,發送收,韻母,韻母拼音碼,調,調號,備註,原有備註,異體字,其它備註,
661,15,201,直遙,tiau5,𪓙,2.04宵,4,𪓙晁鼂朝潮,6,澄,t,舌上音,全濁,,宵開3舒聲,iau,平,5,,𪓙上原作曰,,,
662,37,201,許嬌,hiau1,嚻,2.04宵,5,嚻枵歊毊獢𤣠藃呺𩱴虈,12,曉,h,喉音,次清,送氣,宵開3舒聲,iau,平,1,,,囂㺧,,
663,23,201,昨焦,ciau5,樵,2.04宵,6,樵藮劁憔顦䏆譙嶕𡻝鐎𨝱僬䩌撨菬,17,從,c,齒頭音,全濁,,宵開3舒聲,iau,平,5,缺⿳艹椎木乃以異體字藮代之,,[瞧]藮,,
664,17,201,舉喬,kiau1,驕,2.04宵,7,驕嬌憍穚鷮蕎喬簥撟,9,見,k,牙音,全清,發聲,宵開3舒聲,iau,平,1,,,,,
665,21,201,即消,ciau1,焦,2.04宵,8,焦𤓪㲬蕉膲鷦𩾗椒茮噍鐎蟭醮𪚱僬燋䌭,20,精,c,齒頭音,全清,發聲,宵開3舒聲,iau,平,1,,,(𪚰),,
666,42,201,如招,jiau5,饒,2.04宵,9,饒橈襓㹛蟯蕘,6,日,j,半齒,次濁,收聲,宵開3舒聲,iau,平,5,,,,,
667,33,201,式招,siau1,燒,2.04宵,10,燒𤬖,3,書,s,正齒近舌上,全清,送氣,宵開3舒聲,iau,平,1,,,,,
668,39,201,餘昭,Øiau5,遙,2.04宵,11,遙媱傜繇颻𣣳窯窰䔄𦾺珧鰩銚姚搖謠軺愮恌𨙂陶蘨𤬖鷂洮烑𢋇𢑄㫍榣嗂䠛瑤猺餆褕,42,以,Ø,喉音,次濁,發聲,宵開3舒聲,iau,平,5,,,遥(徭)(摇)(謡)(瑶)(榆),,
669,34,201,市昭,siau5,韶,2.04宵,12,韶㲈佋𦯐𠧙玿𢃳軺柖㸛,13,禪,s,正齒近齒頭,全濁,送氣,宵開3舒聲,iau,平,5,𢃳原作⿰帚召,,,,
670,27,201,止遙,ciau1,昭,2.04宵,13,昭鵃鉊招釗盄皽,7,章,c,正齒近舌上,全清,發聲,宵開3舒聲,iau,平,1,,,,,
671,5,201,甫遙,hiau1,飊,2.04宵,14,飊標猋杓瘭幖熛㠒𧽤蔈驫𦠎𣄠贆髟,18,非,h,輕脣音,全清,發聲,宵開3舒聲,iau,平,1,,,,,
672,5,201,甫嬌,hiau1,鑣,2.04宵,15,鑣𩽁臕儦瀌𦔩藨,9,非,h,輕脣音,全清,發聲,宵開3舒聲,iau,平,1,,,,,
673,7,201,符霄,hiau5,瓢,2.04宵,16,瓢飄剽薸𣞈螵,7,奉,h,輕脣音,全濁,,宵開3舒聲,iau,平,5,,,,,
674,4,201,彌遙,biau5,蜱,2.04宵,17,蜱䖢篻㠺𪃦,6,明,b,重脣音,次濁,收聲,宵開3舒聲,iau,平,5,,,,,
675,8,201,武瀌,biau5,苗,2.04宵,18,苗描緢貓猫,5,微,b,輕脣音,次濁,收聲,宵開3舒聲,iau,平,5,,,,,
676,36,201,於霄,Øiau1,要,2.04宵,19,要腰葽喓𧍔䙅邀䳩蟯,10,影,Ø,喉音,全清,發聲,宵開3舒聲,iau,平,1,,,,,
677,40,201,于嬌,Øiau5,鴞,2.04宵,20,鴞𨚙,3,云,Ø,喉音,次濁,發聲,宵開3舒聲,iau,平,5,,,,,
678,19,201,巨嬌,kiau5,喬,2.04宵,21,喬橋趫僑㝯鐈鷮㠐毊轎嬌蕎蟜蹻𦒓䀉,17,群,k,牙音,全濁,,宵開3舒聲,iau,平,5,毊原作⿱殸高,,,,
679,22,201,七遙,chiau1,鍫,2.04宵,22,鍫鐰篍幧㡑𣟼𣖄,9,清,ch,齒頭音,次清,送氣,宵開3舒聲,iau,平,1,,,(鍬𣂁),,
680,36,201,於喬,Øiau1,妖,2.04宵,23,妖祅枖訞夭,5,影,Ø,喉音,全清,發聲,宵開3舒聲,iau,平,1,,,,,
681,18,201,去遙,khiau1,蹻,2.04宵,24,蹻繑趬蹺䫞㚠,6,溪,kh,牙音,次清,送氣,宵開3舒聲,iau,平,1,,,,,
682,29,201,尺招,chiau1,怊,2.04宵,25,怊弨,2,昌,ch,正齒近舌上,次清,送氣,宵開3舒聲,iau,平,1,,,,,
683,6,201,撫招,hiau1,爂,2.04宵,26,爂漂杓𩙒嫖旚犥鏢僄𪅃飄慓彯摽𧽤𨄏翲瞟螵嘌𦠎,26,敷,h,輕脣音,次清,送氣,宵開3舒聲,iau,平,1,,,,,
684,19,201,渠遙,kiau5,翹,2.04宵,27,翹荍𧄍嘺䎗𤖻,8,群,k,牙音,全濁,,宵開3舒聲,iau,平,5,,,,,
685,41,201,力昭,liau5,燎,2.04宵,28,燎髎,2,來,l,半舌,次濁,收聲,宵開3舒聲,iau,平,5,,,,,
686,18,201,起嚻,khiau1,趫,2.04宵,29,趫憍橇鞽,4,溪,kh,牙音,次清,送氣,宵開3舒聲,iau,平,1,,,,,
687,38,205,胡茅,hau5,肴,2.05肴,1,肴餚崤𦺔殽洨筊姣猇㮁爻淆笅胶𨠦䋂倄㤊䂚,21,匣,h,喉音,全濁,送氣,肴開2舒聲,au,平,5,刪烄,,,,
688,17,205,古肴,kau1,交,2.05肴,2,交蛟茭鵁膠鮫咬郊䍊轇㶀䢒教䉰𥹜摎鉸佼芁詨嘐𩎔,24,見,k,牙音,全清,發聲,肴開2舒聲,au,平,1,,,芁(艽),,
689,30,205,鉏交,cau5,巢,2.05肴,3,巢轈勦𡻝𣝞樔𡏮鄛,11,崇,c,正齒近齒頭,全濁,,肴開2舒聲,au,平,5,,,,,
690,16,205,女交,lau5,鐃,2.05肴,4,鐃呶譊怓䴃𣳦𥗰𡽧㺜,12,娘,l,舌上音,次濁,收聲,肴開2舒聲,au,平,5,,,硇撓,,
691,32,205,所交,sau1,梢,2.05肴,5,梢捎髾輎旓弰䈰筲鞘蛸鮹䘯綃颵莦娋𡡏,18,生,s,正齒近齒頭,全清,送氣,肴開2舒聲,au,平,1,,,艄,,
692,4,205,莫交,bau5,茅,2.05肴,6,茅蝥貓犛罞鶜描媌,8,明,b,重脣音,次濁,收聲,肴開2舒聲,au,平,5,,,,,
693,37,205,許交,hau1,虓,2.05肴,7,虓猇髇藃穘窙嗃䬘哮庨灱涍嘐顤𩾾㹲,17,曉,h,喉音,次清,送氣,肴開2舒聲,au,平,1,,,嚆,,
694,1,205,布交,pau1,包,2.05肴,8,包胞枹苞勹,5,幫,p,重脣音,全清,發聲,肴開2舒聲,au,平,1,,,[齙],,
695,2,205,匹交,phau1,胞,2.05肴,9,胞𨚔䍖脬拋泡𠐋𢿏𦫶,13,滂,ph,重脣音,次清,送氣,肴開2舒聲,au,平,1,,,抛,,
696,18,205,口交,khau1,敲,2.05肴,10,敲跤骹膠㤍磽䂭礉鄗墝頝,11,溪,kh,牙音,次清,送氣,肴開2舒聲,au,平,1,,,,,
697,20,205,五交,gau5,聱,2.05肴,11,聱謷磝𢿣,5,疑,g,牙音,次濁,收聲,肴開2舒聲,au,平,5,,,,,
698,26,205,側交,cau1,𦗔,2.05肴,12,𦗔罺抓𠿈摷,7,莊,c,正齒近齒頭,全清,發聲,肴開2舒聲,au,平,1,,,,,
699,13,205,陟交,tau1,嘲,2.05肴,13,嘲䞴啁鳭鵃,5,知,t,舌上音,全清,發聲,肴開2舒聲,au,平,1,,,,,
700,28,205,楚交,chau1,䜈,2.05肴,14,䜈抄鈔𦾱訬䰫,7,初,ch,正齒近齒頭,次清,送氣,肴開2舒聲,au,平,1,,,,,
701,3,205,薄交,pau5,庖,2.05肴,15,庖咆匏炮炰鉋瓟麃掊颮鞄狍跑捊尥泡㯡,17,並,p,重脣音,全濁,,肴開2舒聲,au,平,5,,,麅,,
702,36,205,於交,Øau1,䫜,2.05肴,16,䫜㕭坳窅軪眑咬梎𠣑,10,影,Ø,喉音,全清,發聲,肴開2舒聲,au,平,1,,,,,
703,14,205,敕交,thau1,䫸,2.05肴,17,䫸嘮,2,徹,th,舌上音,次清,送氣,肴開2舒聲,au,平,1,,,,,
704,41,205,力嘲,lau5,顟,2.05肴,18,顟𠐋窌賿,5,來,l,半舌,次濁,收聲,肴開2舒聲,au,平,5,,,,,
705,15,205,直交,tau5,䄻,2.05肴,19,䄻,1,澄,t,舌上音,全濁,,肴開2舒聲,au,平,5,,,,,
706,38,209,胡刀,ho5,豪,2.06豪,1,豪號毫噑獋濠壕𩕍𣘫崤𨚙𠢕𨼍,18,匣,h,喉音,全濁,送氣,豪開1舒聲,o,平,5,,,(嗥)(獆)(䫧)[嚎][蠔],,
707,17,209,古勞,ko1,髙,2.06豪,2,髙膏臯皋羔餻𡼗櫜咎鼛鷱篙橰𧢌䔌㤒䆁𣓌倃䓘𨝲,25,見,k,牙音,全清,發聲,豪開1舒聲,o,平,1,,,高(睾)(糕)(㟸)(槔)(䚌)(䣗),,
708,41,209,魯刀,lo5,勞,2.06豪,3,勞澇牢窂簩䝁𧰉蟧醪撈㟉㗦髝憥𦗖䜮𨦭𤩂嫪哰𣘪簝,27,來,l,半舌,次濁,收聲,豪開1舒聲,o,平,5,,,,,
709,37,209,呼毛,ho1,蒿,2.06豪,4,蒿𧯌撓薧薅茠𣐾,9,曉,h,喉音,次清,送氣,豪開1舒聲,o,平,1,,,,,
710,4,209,莫袍,bo5,毛,2.06豪,5,毛髦芼𣹪旄氂楙枆酕堥,11,明,b,重脣音,次濁,收聲,豪開1舒聲,o,平,5,,,,,
711,10,209,土刀,tho1,饕,2.06豪,6,饕洮韜縚謟滔叨弢𩥓㹗𤘸慆絛幍𠌪槄蜪夲𠦎綢搯翢瑫𠬢䈱𠚜詜挑,34,透,th,舌頭音,次清,送氣,豪開1舒聲,o,平,1,,,𠦂(掏),,
712,9,209,都勞,to1,刀,2.06豪,7,刀魛忉裯舠𩕯朷,8,端,t,舌頭音,全清,發聲,豪開1舒聲,o,平,1,,,,,
713,24,209,蘇遭,so1,騷,2.06豪,8,騷搔缫繰臊鰠溞颾鱢㮴䑹𠋺慅,14,心,s,齒頭音,全清,送氣,豪開1舒聲,o,平,1,㮴从叜,㮴原作H木叜,(艘),,
714,3,209,薄襃,po5,袍,2.06豪,9,袍袌軳,3,並,p,重脣音,全濁,,豪開1舒聲,o,平,5,,,,,
715,1,209,博毛,po1,襃,2.06豪,10,襃褒𠅬𨚔,6,幫,p,重脣音,全清,發聲,豪開1舒聲,o,平,1,,,,,
716,11,209,徒刀,to5,陶,2.06豪,11,陶䛬䛌咷桃綯燾逃鼗鞀鞉濤掏檮騊萄翿䬞匋啕翢錭駣蜪裪,25,定,t,舌頭音,全濁,,豪開1舒聲,o,平,5,,,淘,,
717,21,209,作曹,co1,糟,2.06豪,12,糟𦵩醩遭㷮槽傮𣩒㡟,11,精,c,齒頭音,全清,發聲,豪開1舒聲,o,平,1,,,,,
718,20,209,五勞,go5,敖,2.06豪,13,敖遨翺聱驁熬嶅獒滶蔜鷔鼇螯謷嗸嗷䫨𢧴摮嫯䦋𣘢𦪈𩪕鰲,29,疑,g,牙音,次濁,收聲,豪開1舒聲,o,平,5,𩪕原作⿱敖骨,,(翱)鏊[廒],,
719,23,209,昨勞,co5,曹,2.06豪,14,曹𣍘槽螬嘈鐰䄚艚䏆𩫥䐬蓸漕褿,16,從,c,齒頭音,全濁,,豪開1舒聲,o,平,5,,,,,
720,36,209,於刀,Øo1,𤏶,2.06豪,15,𤏶䥝鏖,4,影,Ø,喉音,全清,發聲,豪開1舒聲,o,平,1,,,(熝),,
721,12,209,奴刀,lo5,猱,2.06豪,16,猱㺜𤣜巎嶩峱𤫕獿,10,泥,l,舌頭音,次濁,收聲,豪開1舒聲,o,平,5,,,𢜸訄臑䛝農憹,,
722,18,209,苦刀,kho1,尻,2.06豪,17,尻訄,2,溪,kh,牙音,次清,送氣,豪開1舒聲,o,平,1,,,,,
723,22,209,七刀,cho1,操,2.06豪,18,操幧𢻥㡟,5,清,ch,齒頭音,次清,送氣,豪開1舒聲,o,平,1,,,,,
724,2,209,普袍,pho1,㯱,2.06豪,19,㯱藨䫽㲏,4,滂,ph,重脣音,次清,送氣,豪開1舒聲,o,平,1,,,,,
725,17,213,古俄,ko1,歌,2.07歌,1,歌謌柯妿㤎菏牁戕滒哥鴚,11,見,k,牙音,全清,發聲,歌開1舒聲,o,平,1,,,,,
726,22,213,七何,cho1,蹉,2.07歌,2,蹉瑳搓磋溠傞𪘓,8,清,ch,齒頭音,次清,送氣,歌開1舒聲,o,平,1,,,,,
727,9,213,得何,to1,多,2.07歌,3,多𦰿𦷛,5,端,t,舌頭音,全清,發聲,歌開1舒聲,o,平,1,𦷛原作⿰亻萠,,茤,,
728,24,213,素何,so1,娑,2.07歌,4,娑挱挲傞𩊮獻䓾𠈱桫䤬𥆝,14,心,s,齒頭音,全清,送氣,歌開1舒聲,o,平,1,,,,,
729,11,213,徒河,to5,駝,2.07歌,5,駝駞鼉𡩆紽鮀陀驒䍫沱跎詑池酡㼠䭾迱鼧袉𩉺䡐𧕛佗,26,定,t,舌頭音,全濁,,歌開1舒聲,o,平,5,,,(沲)(馱)鴕,,
730,23,213,昨何,co5,醝,2.07歌,6,醝㽨瘥䣜𣩈鹺嵳蒫𥰭艖蔖䴾䑘䠡躦虘𪘓齹䰈,22,從,c,齒頭音,全濁,,歌開1舒聲,o,平,5,,,嵯,,
731,20,213,五何,go5,莪,2.07歌,7,莪哦娥䄉峩鵝俄𩒰蛾睋涐誐硪,14,疑,g,牙音,次濁,收聲,歌開1舒聲,o,平,5,,,(峨),,
732,10,213,託何,tho1,佗,2.07歌,8,佗他拕它蛇痑鼧,7,透,th,舌頭音,次清,送氣,歌開1舒聲,o,平,1,,,拖,,
733,41,213,魯何,lo5,羅,2.07歌,9,羅蘿籮儸饠𤄷欏囉鑼剆,11,來,l,半舌,次濁,收聲,歌開1舒聲,o,平,5,,,,,
734,12,213,諾何,lo5,那,2.07歌,10,那㔮𤘟挪儺𠹈𡖔𩴓臡,13,泥,l,舌頭音,次濁,收聲,歌開1舒聲,o,平,5,,,,,
735,38,213,胡歌,ho5,何,2.07歌,11,何河荷菏苛蚵魺,7,匣,h,喉音,全濁,送氣,歌開1舒聲,o,平,5,,,,,
736,37,213,虎何,ho1,訶,2.07歌,12,訶呵𩑸㱒抲,6,曉,h,喉音,次清,送氣,歌開1舒聲,o,平,1,,,,,
737,18,213,苦何,kho1,珂,2.07歌,13,珂𠳊䯊軻,5,溪,kh,牙音,次清,送氣,歌開1舒聲,o,平,1,,,,,
738,36,213,烏何,Øo1,阿,2.07歌,14,阿娿痾妸妿䋪鈳,7,影,Ø,喉音,全清,發聲,歌開1舒聲,o,平,1,,,(婀)(疴)[屙][啊],,
739,17,217,古禾,ko1,戈,2.08戈,1,戈過渦鍋𨍋楇瘑㽿𩰫𩰬㗻緺堝𩾷𧒖,20,見,k,牙音,全清,發聲,戈合1舒聲,o,平,1,,,蝸,,
740,22,217,七戈,cho1,遳,2.08戈,2,遳,1,清,ch,齒頭音,次清,送氣,戈合1舒聲,o,平,1,,,,,
741,9,217,丁戈,to1,𨹃,2.08戈,3,𨹃桗,3,端,t,舌頭音,全清,發聲,戈合1舒聲,o,平,1,,,(𨹄),,
742,24,217,蘇禾,so1,莎,2.08戈,4,莎魦莏𢘿趖蓑唆𧨀髿梭𣜤㛗,15,心,s,齒頭音,全清,送氣,戈合1舒聲,o,平,1,*上或做2山,,,,
743,3,217,薄波,po5,婆,2.08戈,5,婆媻鄱皤𩕏繁搫蔢碆,10,並,p,重脣音,全濁,,戈合1舒聲,o,平,5,,,,,
744,11,217,徒和,to5,㸰,2.08戈,6,㸰碢堶,3,定,t,舌頭音,全濁,,戈合1舒聲,o,平,5,,,,,
745,4,217,莫婆,bo5,摩,2.08戈,7,摩𩞁𥂓𡡉魔䯢磨劘𦟟𦣆䭩,16,明,b,重脣音,次濁,收聲,戈合1舒聲,o,平,5,,,,,
746,23,217,昨禾,co5,矬,2.08戈,8,矬痤銼㭫睉,5,從,c,齒頭音,全濁,,戈合1舒聲,o,平,5,,,,,
747,20,217,五禾,go5,訛,2.08戈,9,訛譌吪鈋囮魤𠂬,8,疑,g,牙音,次濁,收聲,戈合1舒聲,o,平,5,,,,,
748,10,217,土禾,tho1,詑,2.08戈,10,詑𧦭涶䛢䜏,6,透,th,舌頭音,次清,送氣,戈合1舒聲,o,平,1,,,,,
749,41,217,落戈,lo5,𩼊,2.08戈,11,𩼊摞騾驘𦿌鸁𣜄螺蠃𥢵𥡜𧄿𨰠覼腡蠡,23,來,l,半舌,次濁,收聲,戈合1舒聲,o,平,5,,,(鏍),,
750,12,217,奴禾,lo5,捼,2.08戈,12,捼䎠,2,泥,l,舌頭音,次濁,收聲,戈合1舒聲,o,平,5,,,,,
751,1,217,博禾,po1,波,2.08戈,13,波皤紴嶓番碆,6,幫,p,重脣音,全清,發聲,戈合1舒聲,o,平,1,,,,,
752,2,217,滂禾,pho1,頗,2.08戈,14,頗坡𨸭玻,5,滂,ph,重脣音,次清,送氣,戈合1舒聲,o,平,1,,,,,
753,38,217,戸戈,ho5,和,2.08戈,15,和咊𤖱禾龢鉌䒩㗻盉,10,匣,h,喉音,全濁,送氣,戈合1舒聲,o,平,5,,,,,
754,18,217,苦禾,kho1,科,2.08戈,16,科窠薖稞萪蝌㸰犐課簻䈖㽿髁𠏀,15,溪,kh,牙音,次清,送氣,戈合1舒聲,o,平,1,,,,,
755,36,217,烏禾,Øo1,倭,2.08戈,17,倭濄渦涹𡑟踒𥟿,9,影,Ø,喉音,全清,發聲,戈合1舒聲,o,平,1,,,[窩]萵,,
756,37,217,許𦚢,ho1,鞾,2.08戈,18,鞾靴𢪎㗾,5,曉,h,喉音,次清,送氣,戈合1舒聲,o,平,1,,,,,
757,36,217,於靴,Øo1,𦚢,2.08戈,19,𦚢𠏃,4,影,Ø,喉音,全清,發聲,戈合1舒聲,o,平,1,,,,,
758,18,217,去靴,kho1,𩨷,2.08戈,20,𩨷𩨭,4,溪,kh,牙音,次清,送氣,戈合1舒聲,o,平,1,,,,,
759,19,221,求迦,kia5,伽,2.08戈,21,伽茄枷,3,群,k,牙音,全濁,,戈開3舒聲,ia,平,5,,,,,
760,18,221,丘伽,khia1,佉,2.08戈,22,佉呿㰦𠋧,5,溪,kh,牙音,次清,送氣,戈開3舒聲,ia,平,1,,,,,
761,17,221,居伽,kia1,迦,2.08戈,23,迦,1,見,k,牙音,全清,發聲,戈開3舒聲,ia,平,1,,,,,
762,22,221,醋伽,chia1,脞,2.08戈,24,脞㛗,2,清,ch,齒頭音,次清,送氣,戈開3舒聲,ia,平,1,,,,,
763,21,217,子𩩆,co1,侳,2.08戈,25,侳𩛠,3,精,c,齒頭音,全清,發聲,戈合1舒聲,o,平,1,,,,,
764,19,217,巨靴,ko5,瘸,2.08戈,26,瘸,1,群,k,牙音,全濁,,戈合1舒聲,o,平,5,,,,,
765,41,217,縷𩨷,lo5,𦣛,2.08戈,27,𦣛,2,來,l,半舌,次濁,收聲,戈合1舒聲,o,平,5,,,,,
766,4,229,莫霞,ba5,麻,2.09麻,1,麻犘蟆𪓹𩔶痲𥂓㦄,11,明,b,重脣音,次濁,收聲,麻開2舒聲,a,平,5,,,,,
767,29,237,尺遮,chia1,車,2.09麻,2,車硨,2,昌,ch,正齒近舌上,次清,送氣,麻開3舒聲,ia,平,1,,,,,
768,33,237,式車,sia1,奢,2.09麻,3,奢賒畲,3,書,s,正齒近舌上,全清,送氣,麻開3舒聲,ia,平,1,,,,,
769,39,237,以遮,Øia5,邪,2.09麻,4,邪耶瑘釾鎁椰擨斜䓉𦰳䔑𦭿𥯘,16,以,Ø,喉音,次濁,發聲,麻開3舒聲,ia,平,5,,,(鋣)[揶]爺,,
770,27,237,正奢,cia1,遮,2.09麻,5,遮𠌮㸙諸,5,章,c,正齒近舌上,全清,發聲,麻開3舒聲,ia,平,1,,,,,
771,21,237,子邪,cia1,嗟,2.09麻,6,嗟𧨁罝蒫謯瘥𨲠袓㜘怚𣩈䦈,15,精,c,齒頭音,全清,發聲,麻開3舒聲,ia,平,1,,,,,
772,35,237,食遮,sia5,蛇,2.09麻,7,蛇虵荼,3,船,s,正齒近舌上,全濁,送氣,麻開3舒聲,ia,平,5,,,,,
773,38,233,戸花,hua5,華,2.09麻,8,華驊鷨𧑍鋘鏵釫樺崋划,11,匣,h,喉音,全濁,送氣,麻合2舒聲,ua,平,5,,,譁[嘩],,
774,17,233,古華,kua1,瓜,2.09麻,9,瓜騧緺婐蝸媧㧓,7,見,k,牙音,全清,發聲,麻合2舒聲,ua,平,1,,,,,
775,37,233,呼瓜,hua1,華,2.09麻,10,華花譁𧪮,5,曉,h,喉音,次清,送氣,麻合2舒聲,ua,平,1,,,[嘩]鷨,,
776,18,233,苦瓜,khua1,誇,2.09麻,11,誇䠸夸姱跨胯𠇗䯞,9,溪,kh,牙音,次清,送氣,麻合2舒聲,ua,平,1,,,,,
777,16,229,女加,la5,拏,2.09麻,12,拏詉挐摣蒘𧘽𧦮㊀笯,11,娘,l,舌上音,次濁,收聲,麻開2舒聲,a,平,5,缺瓜+𧦮右,,(拿),㊀=瓜+𧦮(右),
778,17,229,古牙,ka1,嘉,2.09麻,13,嘉家加葭笳麚䴥豭猳痂鴐枷袈𣮫跏𨔣𤠙𧉪茄迦珈瘕犌幏貑蟼,30,見,k,牙音,全清,發聲,麻開2舒聲,a,平,1,,,,,
779,38,229,胡加,ha5,遐,2.09麻,14,遐蝦鍜霞瑕騢鰕䠍䫗碬䪗𩋥赮蕸,15,匣,h,喉音,全濁,送氣,麻開2舒聲,a,平,5,,,,,
780,2,229,普巴,pha1,葩,2.09麻,15,葩鈀妑蚆吧舥𧣃,8,滂,ph,重脣音,次清,送氣,麻開2舒聲,a,平,1,,,,,
781,36,229,於加,Øa1,鴉,2.09麻,16,鴉鵶錏㝞椏丫䃁𠜲,9,影,Ø,喉音,全清,發聲,麻開2舒聲,a,平,1,,,,,
782,1,229,伯加,pa1,巴,2.09麻,17,巴鈀笆豝芭㿬蚆吧,8,幫,p,重脣音,全清,發聲,麻開2舒聲,a,平,1,,,疤,,
783,28,229,初加,cha1,叉,2.09麻,18,叉杈差靫鎈䐤𠞊艖䑡,10,初,ch,正齒近齒頭,次清,送氣,麻開2舒聲,a,平,1,,,,,
784,32,229,所加,sa1,鯊,2.09麻,19,鯊魦沙砂裟㲚桬紗髿𩊮硰,12,生,s,正齒近齒頭,全清,送氣,麻開2舒聲,a,平,1,,,莎,,
785,20,229,五加,ga5,牙,2.09麻,20,牙衙芽齖呀枒吾,7,疑,g,牙音,次濁,收聲,麻開2舒聲,a,平,5,,,[蚜]庌,,
786,26,229,側加,ca1,樝,2.09麻,21,樝柤𦳏㪥䶥皻抯溠渣𤹡𥡧浾,15,莊,c,正齒近齒頭,全清,發聲,麻開2舒聲,a,平,1,,,(楂)(齇齄)查[碴]査,,
787,15,229,宅加,ta5,𡨀,2.09麻,22,𡨀䠧荼䣝𣘻茶秅𡝐𤶠𦛝𥥸塗𨼑梌䅊,22,澄,t,舌上音,全濁,,麻開2舒聲,a,平,5,*下或作冂内𠂊,,[搽],,
788,25,237,似嗟,sia5,衺,2.09麻,23,衺斜邪䔑,4,邪,s,齒頭音,全濁,送氣,麻開3舒聲,ia,平,5,,,[琊],,
789,34,237,視遮,sia5,闍,2.09麻,24,闍余鉈鍦𥍸,6,禪,s,正齒近齒頭,全濁,送氣,麻開3舒聲,ia,平,5,,,(佘),,
790,36,233,烏瓜,Øua1,窊,2.09麻,25,窊洼畖蛙窪哇,6,影,Ø,喉音,全清,發聲,麻合2舒聲,ua,平,1,,,,,
791,26,233,莊華,cua1,髽,2.09麻,26,髽,1,莊,c,正齒近齒頭,全清,發聲,麻合2舒聲,ua,平,1,,,,,
792,13,233,陟瓜,tua1,檛,2.09麻,27,檛簻𥬸膼,5,知,t,舌上音,全清,發聲,麻合2舒聲,ua,平,1,,,撾,,
793,3,229,蒲巴,pa5,爬,2.09麻,28,爬杷琶,3,並,p,重脣音,全濁,,麻開2舒聲,a,平,5,,,,,
794,30,229,鉏加,ca5,楂,2.09麻,29,楂査槎䶥㢒苴,6,崇,c,正齒近齒頭,全濁,,麻開2舒聲,a,平,5,,,茬,,
795,14,229,敕加,tha1,侘,2.09麻,30,侘哆𤵾㗬,5,徹,th,舌上音,次清,送氣,麻開2舒聲,a,平,1,多底,,,,
796,13,229,陟加,ta1,奓,2.09麻,31,奓𧬅觰䅊𤶠咤𪗭䐒,11,知,t,舌上音,全清,發聲,麻開2舒聲,a,平,1,,,,,
797,37,229,許加,ha1,煆,2.09麻,32,煆呀谺疨岈颬,6,曉,h,喉音,次清,送氣,麻開2舒聲,a,平,1,,,,,
798,18,229,苦加,kha1,䶗,2.09麻,33,䶗㤉𡤫,4,溪,kh,牙音,次清,送氣,麻開2舒聲,a,平,1,,,,,
799,23,237,才邪,cia5,㚗,2.09麻,34,㚗,1,從,c,齒頭音,全濁,,麻開3舒聲,ia,平,5,,,,,
800,42,237,人賒,jia5,若,2.09麻,35,若婼,2,日,j,半齒,次濁,收聲,麻開3舒聲,ia,平,5,,,,,
801,24,237,寫邪,sia1,些,2.09麻,36,些,1,心,s,齒頭音,全清,送氣,麻開3舒聲,ia,平,1,,,,,
802,13,237,陟邪,tia1,爹,2.09麻,37,爹,1,知,t,舌上音,全清,發聲,麻開3舒聲,ia,平,1,,,,,
803,20,233,五瓜,gua5,𣢉,2.09麻,38,𣢉𩨾,4,疑,g,牙音,次濁,收聲,麻合2舒聲,ua,平,5,,,,,
804,18,229,乞加,kha1,𣘟,2.09麻,39,𣘟,2,溪,kh,牙音,次清,送氣,麻開2舒聲,a,平,1,,,,,
805,39,241,與章,Øiong5,陽,2.10陽,1,陽暘楊揚颺昜羊样眻佯詳徉洋烊煬鍚𩋬輰敭瘍鴹鰑鸉蛘禓崵諹瑒𥂸𦭵𦍹,35,以,Ø,喉音,次濁,發聲,陽開3舒聲,iong,平,5,32->31,,,,
806,25,241,似羊,siong5,詳,2.10陽,2,詳洋翔庠祥𨀘𦍙痒,10,邪,s,齒頭音,全濁,送氣,陽開3舒聲,iong,平,5,,,,,
807,41,241,吕章,liong5,良,2.10陽,3,良梁粱粮糧涼凉𩗬量蜋踉椋䝶綡𣄴㹁䣼輬,20,來,l,半舌,次濁,收聲,陽開3舒聲,iong,平,5,,,,,
808,37,241,許良,hiong1,香,2.10陽,4,香皀薌鄉膷,5,曉,h,喉音,次清,送氣,陽開3舒聲,iong,平,1,,,,,
809,33,241,式羊,siong1,商,2.10陽,5,商𧶜傷𥏻殤慯觴湯蔏𪄲螪㲽䵮禓饟䵼塲𤳈,22,書,s,正齒近舌上,全清,送氣,陽開3舒聲,iong,平,1,,,,,
810,7,241,符方,hiong5,房,2.10陽,6,房防坊魴方肪鴋,7,奉,h,輕脣音,全濁,,陽開3舒聲,iong,平,5,,,,,
811,27,241,諸良,ciong1,章,2.10陽,7,章漳樟慞璋彰墇障麞獐鄣蔁𪅂𩌬暲,17,章,c,正齒近舌上,全清,發聲,陽開3舒聲,iong,平,1,,,[嫜],,
812,29,241,尺良,chiong1,昌,2.10陽,8,昌裮倡猖閶琩鯧菖,8,昌,ch,正齒近舌上,次清,送氣,陽開3舒聲,iong,平,1,,,娼,,
813,18,241,去羊,khiong1,羌,2.10陽,9,羌猐𡸓蜣,5,溪,kh,牙音,次清,送氣,陽開3舒聲,iong,平,1,,,,,
